ticker,total_volume,adf,adf_10%_level,below_10%,adf_p,natr_min,natr_mean,min_price,mean_price,max_price
PFE,10208037733.0,-2.2993631129602954,-2.56678582924922,False,0.17217346253824523,0.04006865656681733,0.09255008330596541,20.97,25.33007142481226,30.42
HON,970460412.0,-2.4580725013993634,-2.56678582924922,False,0.12601177438013988,0.02044740310390867,0.06991961109874552,179.81,218.1383467908446,241.68
XOM,3421078736.0,-2.5791495429678983,-2.56678582924922,True,0.09738365852987518,0.030146453410569627,0.07911882244620427,97.89,111.49217140482462,126.279
RITM,1093362387.0,-2.11069832898396,-2.56678582924922,False,0.24023456699108553,0.03070416039392068,0.082210539357559,9.1601,11.38509759171896,12.7303
ABCL,1073586030.0,-0.8031024786557842,-2.56678582924922,False,0.818209038808476,0.11081864365932362,0.29030982323496796,1.8936,3.142697376257586,5.78
PAAS,1063245447.0,-0.06536343014820119,-2.56678582924922,False,0.9527810430772345,0.03792779430394664,0.12509401589944355,19.8017,26.10888755537496,39.355
INTC,21445035658.0,-1.1691448098594326,-2.56678582924922,False,0.6867260544422961,0.0671974010576234,0.1794648403391045,17.675,22.359817714010905,36.255
MQ,1564880850.0,-1.6913451846898921,-2.56678582924922,False,0.4355771244275708,0.05360586949356806,0.17245767133125872,3.385,4.762541208723382,6.985
OSCR,2713092039.0,-3.4731044602465264,-2.56678582924922,True,0.00870529964963956,0.07847295637307149,0.254265125340434,11.2,15.593069714082915,22.7623
DAL,2335564516.0,-1.6545914404098276,-2.56678582924922,False,0.45464696605915655,0.043463822483925114,0.13590165310136534,34.82,55.312150591667525,69.63
FSM,3376381525.0,-0.12829170288790978,-2.56678582924922,False,0.9465466377904971,0.07955136492926261,0.21296570140560928,4.13,5.817630795442855,9.1199
TPR,1097418337.0,-0.8142117824170353,-2.56678582924922,False,0.8149117778017485,0.03041470974526711,0.11316136639986844,43.13,77.6378552072832,117.0
NOV,1006681798.0,-2.0994289060808478,-2.56678582924922,False,0.24474430324064322,0.0378265252584063,0.11413751348331286,10.85,14.03311505497377,16.845
IBN,1103549248.0,-1.5639136282545165,-2.56678582924922,False,0.501691088565911,0.010884842337323408,0.03934388664883857,27.46,31.261378242979113,34.54
JCI,996881535.0,-0.7616475460486009,-2.56678582924922,False,0.8301291099954501,0.021660917964481576,0.08148628356719251,68.135,90.43959254407982,112.63
VFC,1951823722.0,-1.2121421599756188,-2.56678582924922,False,0.6683507726541325,0.05215549881252641,0.1698975719769979,9.46,17.049250732434935,28.92
WU,1678879319.0,-1.183294180290939,-2.56678582924922,False,0.6807405349109628,0.04112279708450804,0.10395695161184144,7.85,9.88454670939204,12.014
WY,928763753.0,-1.8839625957564343,-2.56678582924922,False,0.33964281248794703,0.026169019486465935,0.07854999328895555,23.975,28.17913925702088,33.875
QXO,1238897852.0,-1.3016622345156785,-2.56678582924922,False,0.6284114966502103,0.04872903478860452,0.1720393338601863,11.8601,16.65884137423105,24.6119
LVS,1334020628.0,-1.0866951418903301,-2.56678582924922,False,0.7203484599432783,0.028429192468276764,0.09622191548963248,30.19,46.99232626331652,58.05
GOOGL,7823141287.0,-0.051784384438864434,-2.56678582924922,False,0.9540342214402205,0.031143029438273122,0.10135459491083101,140.9,182.51525585849194,255.97
IOVA,2715565353.0,-1.245876815471094,-2.56678582924922,False,0.653556091543867,0.07309291476588388,0.3583739217978588,1.64,4.826133257185474,12.485
APH,1907187350.0,0.4914090060676144,-2.56678582924922,False,0.9846096276310323,0.026561743100347254,0.09793857732974838,57.14,82.61540995411994,126.04
NEM,2712306712.0,1.3203610740772067,-2.56678582924922,False,0.9967205408692306,0.028432789830194247,0.10042622579630321,36.87,53.298185326396464,86.94
NFLX,8936595900.0,-1.5893670536995967,-2.56678582924922,False,0.48893257913931887,0.032970070278587615,0.10709983598470185,68.64,103.13863820594588,134.09
FLEX,971333528.0,-0.46515608925746144,-2.56678582924922,False,0.8986385790622189,0.029868886230571094,0.11218929976228967,25.1275,42.14301448365394,59.76
JPM,2160419659.0,-1.1476657369924337,-2.56678582924922,False,0.6956941336940805,0.029413078598114168,0.0835684351315257,202.87,260.1235820555807,317.7151
